Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Reid, Sam",GW,26,225,125,165,390,3,2, ,64,48,40,26,58,11,27, ,146,247,7,4,59,1, 
"Scully, Tom",HW,21,195,67,193,388,12,6, ,49,23,73,25,57,9,22,2,110,282,1,7,14,12,5
"Saad, Adam",ES,22,239,62,149,388,3, , ,75,104,41,19,56,14,14, ,127,216,2, ,75,51,5
"Thomas, Dale",CA,20,270,105,116,386,3,3, ,61,90,47,9,40,20,17, ,99,224,4,3,54,11,6
"Cameron, Jeremy",GW,24,280,157,105,385,76,50, ,33,5,80,11,68,24,33,13,137,250,31,75,35, ,12
"Miers, Gryan",GE,25,229,98,156,385,28,19, ,48,18,66,15,55,18,9, ,127,253,3,26,11,5,18
"Hardwick, Blake",HW,22,258,99,124,382,2,2, ,69,100,38,9,42,14,11, ,107,232,11,2,84,2,4
"Daniels, Brent",GW,26,200,80,180,380,11,20, ,81,6,80,26,47,21,18, ,146,230,5,13,19,8,25
"Jones, Zak",SY,17,217,68,163,380,3,7, ,66,40,66,46,58,12,25, ,119,269,2,2,19,4,9
"Dawson, Jordan",SY,20,249,109,127,376,15,1,1,60,62,45,13,56,20,10,1,119,241,16,7,28,4,8
"Jetta, Lewis",WC,22,283,82,93,376, , , ,33,83,60,12,49,8,16, ,72,263, , ,37,17,7
"Weller, Lachie",GC,17,227,81,148,375,2,5, ,47,94,46,37,35,12,12, ,109,229,4, ,30,24,4
"Brayshaw, Andrew",FR,22,167,46,205,372,7,7, ,113,22,58,48,56,16,12,1,181,199,4,4,27,2,6
"Gawn, Max",ME,21,253,102,119,372,7,7,829,51,40,69,104,69,48,32,17,220,152,42,10,77, ,3
"Hodge, Luke",BL,22,278,128,94,372, ,2, ,39,90,34,9,53,14,24, ,88,236,7, ,63,2,2
"Goldstein, Todd",NM,22,139,62,230,369,5,7,737,38,17,56,81,60,34,28,5,200,180,20,6,83, ,9
"Kennedy, Adam",GW,23,238,112,131,369,4,1, ,43,52,45,16,37,8,12, ,85,286,3,2,30,22,6
"Sinclair, Jack",SK,22,204,62,165,369,4,11, ,77,38,64,55,44,17,12, ,176,205,4,6,39,16,12
"Guthrie, Cameron",GE,20,191,70,177,368,10,4, ,98,28,35,81,53,10,19,1,155,204,4,4,24,5,8
"Fisher, Zac",CA,21,190,49,178,368,9,7, ,58,22,58,64,58,10,17, ,148,228, ,3,17,16,10
"Ryan, Luke",FR,18,263,94,105,368,1, , ,47,91,27,5,42,11,15,5,118,202,10,1,80,4,2
"Hurley, Michael",ES,19,272,151,96,368, , , ,9,127,8,5,39,10,11,3,90,229,20, ,86,2, 
"Macmillan, Jamie",NM,18,217,88,151,368, , , ,39,98,32,7,45,18,14, ,94,246,8, ,54,6,3
"Simpson, Kade",CA,18,265,85,101,366,3, , ,46,101,30,14,39,15,10,2,96,221,2,1,30,17,3
"Crozier, Hayden",WB,22,257,136,108,365, , , ,44,78,41,5,34,23,10, ,102,252,16,2,87,4,1
"Fritsch, Bayley",ME,22,246,132,118,364,20,16, ,39,44,53,14,55,16,15,4,121,237,16,26,52,1,9
"Miles, Anthony",GC,17,238,65,126,364,6,9, ,66,33,57,84,55,38,19, ,174,193,4,7,16, ,7
"Parfitt, Brandan",GE,20,190,39,174,364,4,4, ,105,15,62,57,63,24,22,2,197,175,5,6,22,2,11
"Howe, Jeremy",CW,21,268,142,96,364,1, , ,30,113,20,1,36,19,9, ,104,205,23, ,120,1, 
